Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C13, C16, C17, C18, C19, C2, C20, C21, C22, C23, C24, C25, C26, C27, C3, C30, C31, C32, C37, C4",0402,21,0.1uF,C60474
"C10, C6, C9",0402,3,100pF,C106200
"C11, C5",0402,2,12pF,C326662
"C12, C7",0402,2,3pF,C1855211
"C14, C15, C8",0805,3,10uF, C95841
"C28, C29",0603,2,1uF,C29936
"C33, C36",0402,2,22nF,C107026
"C34, C35",0402,2,27pF NP0,C107002
CR1,SOT-143,1,DRTR5V0U2SR-7,C443828
D1,D_SOD-523,1,3.3VWM 0.6pF,C2912559
"D2, D6, D7",D_SOD-123,3,20V 1A,C82288
D3,0603,1,RED,C510027
D4,0603,1,GREEN,C510025
D5,0603,1,ORANGE,C510024
"F1, F2",0402,2,6V 200mA,C914085
J1,Hirose_U.FL-R-SMT-1,1,U.FL 6GHz 50R,C88374
J2,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_16P,C2765186
J3,PinHeader_2x03_P1.27mm_Vertical_SMD,1,Conn_02x03_Pin, C3975186
J4,PinHeader_2x05_P1.27mm_Vertical_SMD,1,Conn_ARM_JTAG_SWD_10, C2935458
L1,0402,1,27nH RF,C408697
L2,0402,1,82nH RF,C54972
L3,0402,1,8.2nH RF,C361505
"R1, R2",0402,2,10R,C138066
"R10, R11",0402,2,5.1k,C105872
"R12, R24, R26, R5, R7",0402,5,1k,C106235
R13,0402,1,287R,C375493
R14,0402,1,115R,C295872
R15,0402,1,750R,C137936
"R16, R17, R21, R22",0402,4,2.2k,C114762
"R18, R19",0402,2,27.4R 1%,C284479
"R20, R27, R31, R32, R8, R9",0402,6,10k,C60490
"R23, R25",0402,2,20R,C138031
"R28, R29, R30, R4, R6",0402,5,0R,C60485
R3,0402,1,6.8k,C93940
"SW1, SW2",SOT-363_SC-70-6,2,SN74LVC1G3157,C38663
"SW3, SW4",SW-SMD_L3.9-W3.0-P4.45,2,SW_Push,C455280
"TP1, TP10, TP11, TP2, TP3, TP4, TP5, TP6, TP7, TP8, TP9",TestPoint_Pad_D1.0mm,11,TestPoint,
U1,VSSOP-8_3.0x3.0mm_P0.65mm,1,TLV3542,C2876465
U10,ESP32-PICO-MINI-02U,1,ESP32-PICO-MINI-02U	,C3013939
U2,DFN-8-1EP_2x2mm_P0.5mm_EP0.9x1.5mm,1,BLB01,
U3,MSOP-8_3x3mm_P0.65mm,1,AD8313xRM,C481897
U4,SOT-363_SC-70-6,1,MCP4017-104E 100k,C510890
U5,SOT-223-3_TabPin2,1,AMS1117-3.3,C917183
U6,SOT-353_SC-70-5,1,MCP6566,C623508
U7,TSSOP-8_4.4x3mm_P0.65mm,1,M24C02-RDW,C152731
U8,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q128JVS,C97521
U9,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,C2040
X1,Filter_SAW-6_3.0x3.0mm,1,TA2003A,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,12.000MHz 18pF ±20ppm 80R,C403945
