Designator,Mid X,Mid Y,Rotation,Layer
C1,73.0,-49.3,90.0,top
C10,70.975,-45.62,0.0,top
C11,71.475,-50.52,270.0,top
C12,70.5,-52.6,270.0,top
C13,66.6,-55.9,0.0,top
C14,44.2,-51.3,180.0,bottom
C15,51.0,-57.9,270.0,bottom
C16,63.200001,-40.810001,90.0,top
C17,67.6,-44.0,90.0,top
C18,65.2,-40.8,90.0,top
C19,62.4,-47.0,180.0,top
C2,60.1,-52.9,270.0,top
C20,55.5,-45.4,0.0,bottom
C21,50.7,-43.9,0.0,bottom
C22,47.2,-50.0,0.0,top
C23,50.5,-40.8,270.0,top
C24,53.4,-41.25,270.0,top
C25,55.5,-46.4,0.0,bottom
C26,52.9,-49.7,180.0,bottom
C27,48.5,-45.8,180.0,bottom
C28,47.9,-47.1,180.0,bottom
C29,47.9,-44.5,180.0,bottom
C3,72.5,-53.6,270.0,top
C30,52.9,-56.9,270.0,top
C31,60.6,-42.9,270.0,top
C32,45.0,-57.0,0.0,top
C33,62.4,-45.9,0.0,top
C34,60.0,-50.3,0.0,top
C35,60.0,-44.9,180.0,top
C36,58.2,-42.62,90.0,top
C37,42.9,-43.1,270.0,top
C4,69.5,-53.6,90.0,top
C5,73.4,-44.1,270.0,top
C6,69.9,-51.1,0.0,top
C7,71.5,-52.6,270.0,top
C8,67.4,-57.5,180.0,top
C9,72.0,-40.1,270.0,top
CR1,44.4,-46.0,270.0,top
D1,72.0,-37.8,90.0,top
D2,45.0,-49.0,0.0,bottom
D3,51.379998,-36.9,0.0,top
D4,51.379998,-38.7,0.0,top
D5,46.5,-43.0,180.0,top
D6,63.8,-49.8,180.0,top
D7,41.0,-55.32,270.0,top
F1,74.3,-45.5,180.0,bottom
F2,54.2,-59.0,0.0,bottom
J1,69.0,-38.5,270.0,top
J2,37.575,-47.5,270.0,top
J3,64.0,-50.2,0.0,bottom
J4,50.2,-39.2,0.0,bottom
L1,72.95,-45.595,180.0,top
L2,69.9,-50.1,0.0,top
L3,71.0,-54.1,180.0,top
R1,73.4,-55.5,90.0,top
R10,43.9,-43.1,270.0,top
R11,43.5,-49.3,0.0,top
R12,62.4,-48.0,0.0,top
R13,48.9,-36.94,180.0,top
R14,48.899999,-38.74,180.0,top
R15,49.4,-40.8,90.0,top
R16,58.1,-55.0,0.0,top
R17,58.1,-54.0,0.0,top
R18,47.11,-46.0,0.0,top
R19,47.11,-45.0,0.0,top
R2,68.6,-55.5,90.0,top
R20,51.149999,-57.1,0.0,top
R21,56.3,-59.0,180.0,bottom
R22,59.3,-59.0,0.0,bottom
R23,66.9,-48.8,90.0,top
R24,49.1,-57.1,0.0,top
R25,61.0,-41.4,180.0,top
R26,58.1,-44.9,180.0,top
R27,57.2,-42.65,270.0,top
R28,74.3,-43.0,0.0,bottom
R29,58.5,-40.6,0.0,bottom
R3,73.0,-47.3,90.0,top
R30,58.5,-41.7,0.0,bottom
R31,61.6,-53.3,180.0,bottom
R32,74.3,-44.1,0.0,bottom
R4,68.4,-49.6,270.0,top
R5,61.8,-58.7,180.0,top
R6,72.0,-61.7,0.0,top
R7,65.1,-56.4,270.0,top
R8,64.2,-40.810001,90.0,top
R9,66.2,-40.8,90.0,top
SW1,65.6,-43.5,90.0,top
SW2,62.6,-43.5,90.0,top
SW3,37.5,-55.9,270.0,top
SW4,44.75,-38.020001,0.0,top
U1,62.6,-54.65,270.0,top
U10,66.4,-41.4,0.0,bottom
U2,71.2,-47.895,180.0,top
U3,71.0,-57.8,180.0,top
U4,66.1,-53.9,0.0,top
U5,45.5,-56.0,0.0,bottom
U6,64.900001,-46.9,270.0,top
U7,55.2,-54.5,0.0,top
U8,47.4,-53.6,90.0,top
U9,52.4,-46.4,180.0,top
X1,70.5,-43.1,270.0,top
Y1,59.2,-47.6,270.0,top
