MDS*5D781FBEA46218;(1,-93,2,0000000209F7BF0C)
#MDS*8D781FBE99151035900831CB83C1;(1,-94,1,000000020A25CCAF)
#MDS*8D781FBE99151035900831CB83C1;(1,-94,1,000000020B4A7872)
#MDS*8D781FBE58AF8107343AE293B3EA;(0,-90,5,000000020BB8D1C6)
#MDS*5D781FBEA46218;(1,-94,1,000000020CDD82A0)
#MDS*8D781FBEF8330002004ABC6EB543;(0,-91,4,000000020D26416A)
#MDS*8D781FBE99151035900831CB83C1;(1,-94,0,000000020E27B885)
#MDS*8D781FBE58AF849CC4E7D224352C;(0,-91,4,000000020EB9AAA0)
#MDS*8D781FBE9915103590043183D9C1;(0,-93,2,000000020F5501CE)
#MDS*8D781FBEE109010000000061A0A2;(0,-91,4,000000020FA6D639)
#MDS*5D781FBEA46218;(1,-94,1,000000020FB06FAD)
#MDS*8D781FBE58AF849CF4E7C34319C4;(0,-90,5,00000002101DF47F)
#MDS*8D781FBE9915103590043183D9C1;(1,-95,0,0000000211036046)
#MDS*8D781FBE9915103590043183D9C1;(1,-94,1,00000002124CBBA2)
#MDS*8D781FBE58AF8108103A9D6F70AF;(0,-91,4,0000000212DFB3F1)
#MDS*8D781FBE99150F35900431A2173B;(0,-90,5,0000000214055C2C)
#MDS*8D781FBEEA4288677D5C0847B1A9;(1,-94,1,000000021A3DC6A9)
#MDS*8D781FBEF8330002004ABC6EB543;(1,-95,0,000000021B224412)
#MDS*8D781FBE58AF849E6CE74EB5BB44;(0,-90,4,000000021CFEC4B7)
#MDS*8D781FBE250D30F3E33E204CF8B8;(1,-94,1,00000002260ADAAA)
#MDS*8D781FBE58AF849FC0E6E59F9F11;(1,-94,1,00000002288278FF)
#MDS*8D781FBEEA4288677D5C0847B1A9;(0,-91,3,0000000228955C77)
#MDS*5D781FBEA46218;(0,-92,3,0000000228B087BA)
#MDS*8D781FBEF8330002004ABC6EB543;(0,-89,6,0000000229D4AA8C)
#MDS*8D781FBE58AF849FEEE6D79985C5;(1,-94,1,0000000229E81C2C)
#MDS*8D781FBE99150F357004318797ED;(0,-91,4,0000000229F09233)
#MDS*5D781FBEA46218;(1,-94,1,000000022B16066F)
#MDS*8D781FBE99150F357004318797ED;(0,-89,6,000000022C687F6C)
#MDS*8D781FBE99150F357004318797ED;(1,-94,1,000000022DE08603)
#MDS*8D781FBE58AF84A076E6AD8EEA53;(0,-91,4,000000022E7B7650)
#MDS*8D781FBE99150E35700431849D23;(0,-92,3,000000022F04640A)
#MDS*5D781FBEA46218;(1,-94,1,00000002310EDFB6)
#MDS*8D781FBE99150E35700431849D23;(0,-89,6,000000023245FB5A)
#MDS*8D781FBE99150E35700431849D23;(1,-94,1,000000023606F221)
#MDS*5D781FBEA46218;(0,-90,5,00000002366BCE6F)
#MDS*8D781FBEEA4288677D5C0847B1A9;(0,-90,5,000000023707AC43)
#MDS*8D781FBE99150E35700431849D23;(0,-90,5,0000000237B4F9DE)
#MDS*8D781FBE58AF84A19EE651EBD94C;(1,-95,0,00000002389190AE)
#MDS*8D781FBEF8330002004ABC6EB543;(0,-90,0,00000002389A53DB)
#MDS*5D781FBEA46218;(0,-92,3,0000000238C8E508)
#MDS*5D781FBEA46218;(1,-94,1,000000023B24F0DC)
#MDS*8D781FBE99150E35700431849D23;(1,-94,1,000000023D1B9205)
#MDS*5D781FBEA46218;(0,-91,4,000000023DDD1945)
#MDS*8D781FBEEA4288677D5C0847B1A9;(0,-89,6,000000023E25D6F7)
#MDS*8D781FBE99150E35700431849D23;(0,-90,1,000000023E8B1856)
#MDS*8D781FBE99150E35700431849D23;(0,-89,6,000000024039009B)
#MDS*5D781FBEA46218;(0,-90,4,0000000240818FEC)
#MDS*8D781FBE99150E35700431849D23;(0,-89,6,000000024194AB84)
#MDS*8D781FBE250D30F3E33E204CF8B8;(0,-89,6,0000000241EF4EA5)
#MDS*8D781FBE99150E35700431849D23;(1,-95,-1,0000000242B99C35)
#MDS*5D781FBEA46218;(0,-91,4,0000000242D53103)
#MDS*8D781FBE58AF810DCA38D6C3CACB;(0,-90,1,00000002437A6C2A)
#MDS*8D781FBE99150E35700431849D23;(0,-92,3,000000024402AF0D)
#MDS*8D781FBE58AF810DE838CC9D92CF;(1,-94,1,0000000244B18DE1)
#MDS*8D781FBE99150E35700431849D23;(0,-91,4,00000002452842F6)
#MDS*8D781FBEEA4288677D5C0847B1A9;(0,-91,4,00000002454C9DD9)
#MDS*8D781FBE58AF84A448E57E12E742;(1,-94,1,000000024FA2953D)
#MDS*5D781FBEA46218;(0,-92,3,000000024FC732D0)
#MDS*8D781FBE58AF810F5E3858937355;(1,-94,1,000000025107DA68)
#MDS*8D781FBE58AF84A49CE564988206;(0,-89,6,00000002529171B0)
#MDS*5D781FBEA46218;(0,-92,3,0000000252B5EE96)
#MDS*8D781FBEEA4288677D5C0847B1A9;(1,-94,1,0000000253BFC357)
#MDS*5D781FBEA46218;(0,-90,5,000000025508EA77)
#MDS*8D781FBE99150E35700431849D23;(0,-90,5,000000025624A468)
#MDS*8D781FBE58AF84A546E5307896BE;(1,-94,1,000000025853DF16)
#MDS*8D781FBE99150E35700431849D23;(1,-94,1,0000000258E68E22)
#MDS*8D781FBE58AF81108C37FAA5D1D0;(1,-94,1,000000025AF870BA)
#MDS*8D781FBEEA4288677D5C0847B1A9;(0,-88,7,000000025B021C9B)
#MDS*8DA8304F58C900C1DC92BC4519E0;(0,-91,4,000000025B9B64F3)
#MDS*5D781FBEA46218;(1,-94,-4,000000025B9E4F82)
#MDS*8D781FBE99150E35700431849D23;(1,-95,-1,000000025C02AC1A)
#MDS*8D781FBEF8330002004ABC6EB543;(1,-94,1,000000025C9475AB)
#MDS*8D781FBE58AF8110D837E2C5AC22;(0,-88,7,000000025D9E3D5E)
#MDS*5D781FBEA46218;(0,-89,6,000000025E0C417D)
#MDS*5DAAE1EA0E6CC4;(0,-93,2,000000025E55D888)
#MDS*8D781FBE250D30F3E33E204CF8B8;(0,-89,6,000000025EB9BCC9)
#MDS*8D781FBE99150E35700431849D23;(1,-93,2,000000025EDFCD75)
#MDS*8D781FBE58AF84A636E4E5E3F5E7;(0,-88,7,00000002603AD0E2)
#MDS*5D781FBEA46218;(0,-91,4,0000000260568069)
#MDS*8D781FBEEA4288677D5C0847B1A9;(1,-93,2,00000002623AEFFE)
#MDS*8D781FBE99150E35500431C1E10A;(0,-90,5,0000000262B2B7F3)
#MDS*8D781FBE58AF84A682E4CDA729AB;(1,-95,0,0000000262D66C47)
#MDS*8DAAE1EAEA46685F5D3F8C27F1DC;(1,-94,1,0000000263BE1B8B)
#MDS*8D781FBEF8330002004ABC6EB543;(0,-91,4,0000000263D7D9E7)
#MDS*8D781FBE99150E35500431C1E10A;(0,-90,5,00000002642045D6)
#MDS*8D781FBE58AF8111CA3797D5D3D4;(1,-95,0,00000002658FC0D0)
#MDS*8D781FBE99150E35500431C1E10A;(1,-94,1,0000000265C5F7F7)
#MDS*8D781FBEEA4288677D5C0847B1A9;(0,-89,6,0000000265CFE24D)
#MDS*5D781FBEA46218;(0,-90,5,00000002660F281C)
#MDS*8D781FBEE109010000000061A0A2;(0,-89,5,00000002662AD3FB)
#MDS*8D781FBEE109010000000061A0A2;(1,-95,-1,00000002662AA007)
#MDS*8D781FBE58AF811218377F0AF030;(1,-93,2,00000002682B9DAF)
#MDS*5D781FBEA46218;(0,-90,5,0000000268989162)
#MDS*8D781FBE99150F35500431C2EBC4;(1,-94,1,000000026A07AA61)
#MDS*8D781FBE58AF81126437674153E3;(1,-94,1,000000026AC7E2D2)
#MDS*8D781FBEF8330002004ABC6EB543;(0,-90,0,000000026AD0A853)
#MDS*8D781FBE99150F35500431C2EBC4;(0,-89,6,000000026B7F1ECF)
#MDS*8D781FBE250D30F3E33E204CF8B8;(1,-94,1,000000026CF70DEC)
#MDS*8DAAE1EAE10E8800000000D4E1B7;(0,-91,4,000000026D20A812)
#MDS*5D781FBEA46218;(0,-89,6,000000026D6D62EE)
#MDS*8D781FBE99150F35500431C2EBC4;(1,-94,1,000000026E095BC0)
#MDS*8D781FBE58AF8112E6373E4C1811;(1,-95,-1,000000026F094E96)
#MDS*8D781FBE99150F35500431C2EBC4;(0,-88,7,000000026F9295D1)
#MDS*8DA8304FF8230002004AB8B847F5;(1,-95,0,00000002704CB9F0)
#MDS*8D781FBEEA4288677D5C0847B1A9;(0,-88,7,00000002709C4123)
#MDS*8D781FBE99150F35500431C2EBC4;(0,-89,6,000000027113EF0E)
#MDS*8D781FBE58AF8113403722E4CCC2;(1,-94,1,0000000272265AC3)
#MDS*8D781FBE58AF84A86EE435869FAE;(1,-94,1,0000000273782924)
#MDS*8D781FBE99150F35500431C2EBC4;(0,-91,4,00000002738B4B88)
#MDS*5D781FBEA46218;(1,-94,1,00000002739C9D4B)
#MDS*8D781FBEEA4288677D5C0847B1A9;(0,-89,1,0000000274266025)
#MDS*8D781FBE58AF8113923709BC8561;(1,-94,1,0000000274AFC88F)
#MDS*8D781FBE99150F35500431C2EBC4;(0,-89,6,0000000274E6EDD3)
#MDS*8D781FBE99150F35500431C2EBC4;(1,-95,0,0000000274E63494)
#MDS*8D781FBE58AF8113B436FE2179A2;(0,-90,4,0000000275D4DCFE)
#MDS*8D781FBE99150F35500431C2EBC4;(0,-89,6,0000000277C3E96D)
#MDS*5DA8304F0382BF;(1,-95,0,0000000278745B3A)
#MDS*8D781FBE58AF84A916E4002FEDC9;(1,-94,1,00000002791ED72E)
#MDS*8D781FBE99150F35500431C2EBC4;(1,-94,1,000000027971999D)
#MDS*8D781FBEF8330002004ABC6EB543;(1,-94,1,00000002797A6938)
#MDS*5D781FBEA46218;(0,-88,7,000000027A0D31C1)
#MDS*8D781FBE58AF84A93CE3F4302714;(1,-94,-4,000000027AA88805)
#MDS*8D781FBE250D30F3E33E204CF8B8;(1,-94,1,000000027AC44CF5)
#MDS*8D781FBEEA4288677D5C0847B1A9;(0,-90,5,000000027B31F35F)
#MDS*8D781FBE99150F35500431C2EBC4;(1,-94,1,000000027C4D896F)
#MDS*5D781FBEA46218;(1,-94,-4,000000027CBC3789)
#MDS*8DAAE1EA990D5C2E28083C79FE92;(0,-91,4,000000027CFA509F)
#MDS*8D781FBE58AF84A9C0E3CC9041DA;(1,-94,1,000000027EEA66E3)
#MDS*8D781FBE99150F35500431C2EBC4;(0,-90,3,000000027EF43512)
#MDS*5D781FBEA46218;(1,-95,0,000000027FBC7149)
#MDS*8D781FBE99150F35500431C2EBC4;(0,-88,6,0000000280187022)
#MDS*8D781FBE58AF84A9E6E3C0F98C2F;(0,-89,6,000000028059190B)
#MDS*8D781FBEF8330002004ABC6EB543;(0,-88,7,0000000280616CA5)
#MDS*8D781FBEF8330002004ABC6EB543;(1,-93,2,00000002807D462B)
#MDS*8D781FBE99150F35500431C2EBC4;(1,-94,1,0000000281741611)
#MDS*8D781FBE58AF811514369074185D;(0,-88,7,00000002818FF287)
#MDS*8D781FBEEA4288677D5C0847B1A9;(1,-94,1,00000002827DD36B)
#MDS*5D781FBEA46218;(0,-87,8,0000000282FE41CE)
#MDS*5D781FBEA46218;(1,-94,1,0000000282FDC63D)
#MDS*8D781FBE58AF84AA3AE3A663A6C4;(1,-93,2,00000002833DAF73)
#MDS*8D781FBE58AF81156A3675DE0B97;(0,-88,7,00000002848797FA)
#MDS*5D781FBEA46218;(1,-94,1,0000000286087533)
#MDS*8D781FBE99150F35500431C2EBC4;(1,-94,1,000000028611259E)
#MDS*8D781FBEF8330002004ABC6EB543;(1,-92,3,0000000287643293)
#MDS*8D781FBE58AF8115EC364D19A7B8;(0,-88,7,0000000288D2E988)
#MDS*8D781FBE99150F35500431C2EBC4;(1,-94,0,0000000288E44991)
#MDS*8D781FBE250D30F3E33E204CF8B8;(0,-88,7,00000002892E6387)
#MDS*8D781FBE250D30F3E33E204CF8B8;(1,-94,1,00000002892DBDB7)
#MDS*8D781FBEEA4288677D5C0847B1A9;(1,-95,0,000000028992E595)
#MDS*8D781FBE58AF811616363FEAD012;(1,-95,0,000000028A2DA1A0)
#MDS*8D781FBE99150F35500431C2EBC4;(0,-91,4,000000028A89D9D4)
#MDS*8DAAE1EA58B973FC8FB7305CCD5F;(0,-91,4,000000028B1564A7)
#MDS*8D781FBE58AF8116423632758107;(0,-89,6,000000028BA613D5)
#MDS*8D781FBE99150F35500431C2EBC4;(0,-90,5,000000028BCA1E82)
#MDS*5D781FBEA46218;(0,-90,5,000000028C2EB1C6)
#MDS*8D781FBE58AF8116643627E3284F;(0,-88,7,000000028CCA839E)
#MDS*8D781FBE99150F35500431C2EBC4;(0,-91,4,000000028D1C59EE)
#MDS*8D781FBEEA4288677D5C0847B1A9;(0,-90,5,000000028D2FCA95)
#MDS*5DA8304F8782BF;(0,-91,4,000000028E107E76)
#MDS*8D781FBEF8330002004ABC6EB543;(1,-93,2,000000028E4AA4A5)
#MDS*5D781FBEA46218;(1,-94,1,000000028E792236)
#MDS*8D781FBE99150F35500431C2EBC4;(1,-94,1,000000028E81D8B9)
#MDS*8DA8304F99085FB270083FB18D6E;(0,-92,3,000000028EAA7D1A)
#MDS*8D781FBE58AF84ABA2E336165F3A;(1,-94,1,000000028F417138)
#MDS*5DAAE1EA006CC4;(0,-92,3,000000028FA0F7B1)
#MDS*8DAAE1EA58B98796C2631F4C41C0;(0,-91,4,0000000290852933)
#MDS*8D781FBEEA4288677D5C0847B1A9;(0,-92,3,0000000290C27D28)
#MDS*5D781FBEA46218;(0,-92,3,0000000291284F5B)
#MDS*5D781FBEA46218;(1,-94,1,000000029127D9DA)
#MDS*8DAAE1EA990D5C2E20043DA0F293;(1,-94,1,0000000292F34132)
#MDS*8D781FBE99150F35500431C2EBC4;(1,-94,1,0000000293A8F22D)
#MDS*8DA8304F58C90452193E9DA03B4F;(0,-92,3,0000000293D8C0E3)
#MDS*8D781FBE58AF81175C35D929A924;(1,-94,1,00000002950DD81C)
#MDS*8D781FBE99150F35500431C2EBC4;(0,-89,6,000000029669365E)
